pair_gender,pair_race,FA_gender,LA_gender,FA_race,LA_race,JIF,year,num_citations,log_num_citations,citation_rate,log_citation_rate,WC,num_cited_refs,WC_1st,Country,global_north,article_id
MM,WW,M,M,W,W,50,2000,20,2.995732273553991,0.8333333333333334,-0.1823215567939546,Multidisciplinary Sciences,30,Multidisciplinary Sciences,finland,1,33079
MM,WW,M,M,W,W,1,2000,7,1.9459101490553132,0.2916666666666667,-1.2321436812926323,Veterinary Sciences,17,Veterinary Sciences,usa,1,83141
MM,WW,M,M,W,W,1,2000,8,2.0794415416798357,0.3333333333333333,-1.0986122886681098,Veterinary Sciences,16,Veterinary Sciences,usa,1,83443
MM,WW,M,M,W,W,3,2000,6,1.791759469228055,0.25,-1.3862943611198906,Ecology,45,Ecology,switzerland,1,114435
MM,WW,M,M,W,W,2,2000,27,3.295836866004329,1.125,0.11778303565638346,Microbiology; Veterinary Sciences,44,Microbiology,united kingdom (great britain),1,67853
MM,WW,M,M,W,W,2,2000,12,2.4849066497880004,0.5,-0.6931471805599453,Microbiology; Veterinary Sciences,120,Microbiology,united kingdom (great britain),1,75470
MM,NW,M,M,N,W,44,2000,19,2.9444389791664403,0.7916666666666666,-0.2336148511815052,Multidisciplinary Sciences,23,Multidisciplinary Sciences,usa,1,43874
MM,WW,M,M,W,W,5,2000,11,2.3978952727983707,0.4583333333333333,-0.7801585575495751,Immunology; Infectious Diseases; Microbiology,18,Immunology,usa,1,47123
MM,NW,M,M,N,W,5,2000,19,2.9444389791664403,0.7916666666666666,-0.2336148511815052,"Public, Environmental & Occupational Health",21,"Public, Environmental & Occupational Health",canada,1,17659
MM,NW,M,M,N,W,2,2000,12,2.4849066497880004,0.5,-0.6931471805599453,"Computer Science, Information Systems",14,"Computer Science, Information Systems",usa,1,144942
MM,WW,M,M,W,W,4,2000,22,3.091042453358316,0.9166666666666666,-0.08701137698962981,Ecology; Environmental Sciences,177,Ecology,usa,1,77529
MM,WW,M,M,W,W,4,2000,5,1.6094379124341005,0.20833333333333337,-1.5686159179138452,Ecology; Zoology,55,Ecology,united kingdom (great britain),1,69366
MW,WW,M,W,W,W,4,2000,82,4.406719247264253,3.4166666666666665,1.2286654169163074,"Computer Science, Hardware & Architecture; Computer Science, Information Systems; Engineering, Electrical & Electronic; Telecommunications",32,"Computer Science, Hardware & Architecture",usa,1,18797
MM,WW,M,M,W,W,5,2000,6,1.791759469228055,0.25,-1.3862943611198906,"Public, Environmental & Occupational Health",58,"Public, Environmental & Occupational Health",usa,1,147038
MM,WW,M,M,W,W,1,2000,7,1.9459101490553132,0.2916666666666667,-1.2321436812926323,Mathematical & Computational Biology; Neurosciences,44,Mathematical & Computational Biology,france,1,33606
MM,WW,M,M,W,W,3,2000,13,2.5649493574615367,0.5416666666666666,-0.6131044728864089,"Chemistry, Physical; Physics, Atomic, Molecular & Chemical",21,"Chemistry, Physical",usa,1,18004
